turn_number,feature,n_doctronic,n_drkhan,mean_doctronic,mean_drkhan,U,p_raw,p_fdr,effect_r,sig_fdr,inferential_status,fdr_scope
3,politeness_count,984,975,0.41260162601626016,0.5682051282051283,424187.0,8.94592408719784e-08,1.1010368107320419e-07,0.11572441109026477,True,exploratory_turn3,global_all_turn_x_feature_tests
4,word_count,963,909,44.59086188992731,279.3190319031903,21721.5,2.1979127862163267e-277,8.352068587622042e-276,0.9503716726812869,True,exploratory_turn4,global_all_turn_x_feature_tests
4,sentence_count,963,909,2.5358255451713396,13.306930693069306,20237.5,3.1645364837243906e-283,1.9240381821044295e-281,0.9537622505760441,True,exploratory_turn4,global_all_turn_x_feature_tests
4,avg_sentence_length,963,909,17.517331256490138,20.824147414741475,254863.5,3.7872100880590496e-55,9.925102299740957e-55,0.41769909078135226,True,exploratory_turn4,global_all_turn_x_feature_tests
4,paragraph_count,963,909,1.0,7.5016501650165015,174784.5,3.1616861921225833e-175,2.7461502925864722e-174,0.6006600660066006,True,exploratory_turn4,global_all_turn_x_feature_tests
4,question_count,963,909,1.3271028037383177,1.2673267326732673,457200.5,0.06236350390822464,0.06722874180177407,-0.04459158273044328,False,exploratory_turn4,global_all_turn_x_feature_tests
4,mattr,963,909,0.9008680166147455,0.8322066006600659,683243.5,3.614486313410881e-98,1.4270179730868935e-97,-0.5610446818305923,True,exploratory_turn4,global_all_turn_x_feature_tests
4,flesch_reading_ease,963,909,71.45164070612668,44.571287128712875,802326.5,1.2196597904415643e-213,1.6120720708445025e-212,-0.8331202798369142,True,exploratory_turn4,global_all_turn_x_feature_tests
4,avg_word_length,963,909,4.477638629283488,5.20863806380638,105665.0,1.7718846393133322e-177,1.632281607125009e-176,0.7585812579181075,True,exploratory_turn4,global_all_turn_x_feature_tests
4,medical_term_count,963,909,0.040498442367601244,1.2761276127612762,221868.5,1.2070534333677281e-123,5.918455544254667e-123,0.4930846147958513,True,exploratory_turn4,global_all_turn_x_feature_tests
4,urgency_score,963,909,0.14018691588785046,0.6963696369636964,320466.0,4.055665693893598e-50,9.86337896754923e-50,0.26781338569994073,True,exploratory_turn4,global_all_turn_x_feature_tests
4,warning_signs_count,963,909,0.9086188992731049,1.6127612761276127,303891.5,3.222567669456771e-34,5.901569707920833e-34,0.3056820739187107,True,exploratory_turn4,global_all_turn_x_feature_tests
4,medication_specificity,963,909,0.0695742471443406,0.5907590759075908,269093.5,1.8032919064999338e-84,6.1595588716402235e-84,0.38518701298998015,True,exploratory_turn4,global_all_turn_x_feature_tests
4,differential_count,963,909,0.0612668743509865,1.2123212321232124,173119.0,3.8526936244186766e-159,3.0031252867263528e-158,0.6044653271142275,True,exploratory_turn4,global_all_turn_x_feature_tests
4,emergency_advice,963,909,0.0446521287642783,0.050605060506050605,435078.0,0.5454071358025967,0.5582618494410417,0.00595293174177236,False,exploratory_turn4,global_all_turn_x_feature_tests
4,safety_warning_count,963,909,0.37590861889927313,1.342134213421342,287098.5,8.526509033647448e-53,2.1782006270830456e-52,0.3440499813221197,True,exploratory_turn4,global_all_turn_x_feature_tests
4,risk_language_score,963,909,0.47767393561786087,1.3091309130913091,296273.5,6.10331577381506e-47,1.3950436054434423e-46,0.32308734507926384,True,exploratory_turn4,global_all_turn_x_feature_tests
4,empathy_score,963,909,0.21287642782969884,0.24862486248624863,421126.5,0.0162469558313126,0.01783059412533946,0.037828704988878914,True,exploratory_turn4,global_all_turn_x_feature_tests
4,reassurance_count,963,909,0.007268951194184839,0.041804180418041806,424005.5,5.074988861328853e-06,5.97983183660454e-06,0.0312508924828101,True,exploratory_turn4,global_all_turn_x_feature_tests
4,politeness_count,963,909,0.4039460020768432,0.658965896589659,354527.0,4.1381131651649263e-17,5.85109954516343e-17,0.189992311796081,True,exploratory_turn4,global_all_turn_x_feature_tests
5,word_count,934,889,44.53854389721627,293.0596175478065,16271.5,3.7453740643092314e-276,1.265104128388896e-274,0.9608069601578175,True,exploratory_turn5,global_all_turn_x_feature_tests
5,sentence_count,934,889,2.506423982869379,13.850393700787402,16638.0,9.38996079721581e-280,4.757580137256011e-278,0.9599241743604319,True,exploratory_turn5,global_all_turn_x_feature_tests
5,avg_sentence_length,934,889,18.286413276231265,20.938413948256468,264398.5,4.560270914724912e-41,9.694561944590023e-41,0.3631453188265814,True,exploratory_turn5,global_all_turn_x_feature_tests
5,paragraph_count,934,889,1.0,7.474690663667042,163917.0,1.2865999618607802e-171,1.0570983470423706e-170,0.6051743532058493,True,exploratory_turn5,global_all_turn_x_feature_tests
5,question_count,934,889,1.278372591006424,1.2339707536557931,434713.5,0.0508169111926806,0.05497630250026656,-0.0470911425151086,False,exploratory_turn5,global_all_turn_x_feature_tests
5,mattr,934,889,0.8951676659528908,0.8274100112485939,646375.0,3.257793021048717e-94,1.2379613479985124e-93,-0.5569186078720887,True,exploratory_turn5,global_all_turn_x_feature_tests
5,flesch_reading_ease,934,889,67.73,44.99632170978627,733167.5,2.8713260451683887e-176,2.567303287444677e-175,-0.7659750507631942,True,exploratory_turn5,global_all_turn_x_feature_tests
5,avg_word_length,934,889,4.567158458244112,5.191959505061868,126862.5,3.0639523794833196e-145,1.9817904752402746e-144,0.6944272490563947,True,exploratory_turn5,global_all_turn_x_feature_tests
5,medical_term_count,934,889,0.047109207708779445,1.0179977502812148,242408.0,6.544518762534502e-96,2.550684235654472e-95,0.4161136710159624,True,exploratory_turn5,global_all_turn_x_feature_tests
5,urgency_score,934,889,0.15417558886509636,0.5725534308211474,329286.0,1.0425650385253941e-32,1.8426730913472082e-32,0.20685128491700855,True,exploratory_turn5,global_all_turn_x_feature_tests
5,warning_signs_count,934,889,0.9068522483940042,1.3082114735658044,326627.0,1.8740471905364247e-17,2.7000490328107732e-17,0.2132559982464719,True,exploratory_turn5,global_all_turn_x_feature_tests
5,medication_specificity,934,889,0.061027837259100645,0.47244094488188976,285773.0,3.0180898112116607e-62,8.49536391304023e-62,0.3116607212107052,True,exploratory_turn5,global_all_turn_x_feature_tests
5,differential_count,934,889,0.07494646680942184,1.1811023622047243,184923.5,1.143686550625005e-133,6.208584131964313e-133,0.5545761544260929,True,exploratory_turn5,global_all_turn_x_feature_tests
5,emergency_advice,934,889,0.042826552462526764,0.03824521934758155,417065.0,0.6204711894192961,0.6287441386115534,-0.00458133311494513,False,exploratory_turn5,global_all_turn_x_feature_tests
5,safety_warning_count,934,889,0.34582441113490364,1.0382452193475815,300638.5,1.4886514222927595e-37,2.938636573876616e-37,0.27585430300869784,True,exploratory_turn5,global_all_turn_x_feature_tests
5,risk_language_score,934,889,0.4346895074946467,0.9910011248593926,309850.5,4.882444133922484e-32,8.433312594957017e-32,0.25366542779582957,True,exploratory_turn5,global_all_turn_x_feature_tests
5,empathy_score,934,889,0.1349036402569593,0.25534308211473566,384859.0,9.021593203148575e-07,1.079749737699672e-06,0.07299301720047302,True,exploratory_turn5,global_all_turn_x_feature_tests
5,reassurance_count,934,889,0.009635974304068522,0.0798650168728909,394816.5,6.113906193706296e-09,7.617325749535714e-09,0.04900846173671547,True,exploratory_turn5,global_all_turn_x_feature_tests
5,politeness_count,934,889,0.3426124197002141,0.7041619797525309,309719.5,1.2594548181380923e-28,2.080838395184674e-28,0.25398096651194835,True,exploratory_turn5,global_all_turn_x_feature_tests
6,word_count,915,868,43.90273224043716,307.66244239631334,12892.5,6.977223624528542e-274,2.121075981856677e-272,0.9675341844828889,True,exploratory_turn6,global_all_turn_x_feature_tests
6,sentence_count,915,868,2.430601092896175,14.455069124423963,13692.0,1.9527403545070381e-277,8.352068587622042e-276,0.965520888418826,True,exploratory_turn6,global_all_turn_x_feature_tests
6,avg_sentence_length,915,868,18.75821857923497,21.173214285714288,262965.0,5.099097122423435e-35,9.568676081584716e-35,0.33780312759688746,True,exploratory_turn6,global_all_turn_x_feature_tests
6,paragraph_count,915,868,1.0,7.747695852534562,149602.5,1.2179593597119518e-174,1.0284990148678704e-173,0.6232718894009217,True,exploratory_turn6,global_all_turn_x_feature_tests
6,question_count,915,868,1.2120218579234974,1.140552995391705,429479.5,0.0007858459688004932,0.0008981096786291351,-0.0815126791065448,True,exploratory_turn6,global_all_turn_x_feature_tests
6,mattr,915,868,0.8911032786885246,0.8246565668202764,611806.5,5.43310681257522e-87,1.943134671791608e-86,-0.5406474276648787,True,exploratory_turn6,global_all_turn_x_feature_tests
6,flesch_reading_ease,915,868,66.1483825136612,45.12158986175115,688397.0,2.6985654545781558e-158,2.0008875565652667e-157,-0.7335171614917781,True,exploratory_turn6,global_all_turn_x_feature_tests
6,avg_word_length,915,868,4.584090710382513,5.182249999999999,126709.0,1.0907058869204082e-136,6.140270178218595e-136,0.6809221626249653,True,exploratory_turn6,global_all_turn_x_feature_tests
6,medical_term_count,915,868,0.0546448087431694,0.8986175115207373,256149.0,7.894800135536679e-75,2.6666880457812786e-74,0.3549671375689356,True,exploratory_turn6,global_all_turn_x_feature_tests
6,urgency_score,915,868,0.14754098360655737,0.543778801843318,317886.5,6.015496743754436e-31,1.0216262626264517e-30,0.19950013850066728,True,exploratory_turn6,global_all_turn_x_feature_tests
6,warning_signs_count,915,868,0.8786885245901639,1.262672811059908,326102.5,1.1198445862797658e-12,1.45484083003867e-12,0.17881065699680188,True,exploratory_turn6,global_all_turn_x_feature_tests
6,medication_specificity,915,868,0.05901639344262295,0.39746543778801846,298746.0,1.709756958475376e-44,3.793913250923462e-44,0.2476996298254892,True,exploratory_turn6,global_all_turn_x_feature_tests
6,differential_count,915,868,0.06557377049180328,0.9838709677419355,204922.5,1.5102020654373563e-108,6.376408720735505e-108,0.4839654000151091,True,exploratory_turn6,global_all_turn_x_feature_tests
6,emergency_advice,915,868,0.041530054644808745,0.03341013824884793,400334.5,0.36771226237217314,0.38546388883151944,-0.00811991639596088,False,exploratory_turn6,global_all_turn_x_feature_tests
6,safety_warning_count,915,868,0.2568306010928962,0.8974654377880185,292437.0,1.8971789397992413e-37,3.7209186948320606e-37,0.2635869154642291,True,exploratory_turn6,global_all_turn_x_feature_tests
6,risk_language_score,915,868,0.3256830601092896,0.8536866359447005,293222.5,3.445003621808473e-36,6.586673591382238e-36,0.2616088741154844,True,exploratory_turn6,global_all_turn_x_feature_tests
6,empathy_score,915,868,0.1180327868852459,0.3283410138248848,346588.0,1.6873258480312965e-15,2.2899422223281883e-15,0.12722419480748404,True,exploratory_turn6,global_all_turn_x_feature_tests
6,reassurance_count,915,868,0.01092896174863388,0.08640552995391705,378047.5,2.5290768432231877e-08,3.138119838121833e-08,0.04800307219662059,True,exploratory_turn6,global_all_turn_x_feature_tests
6,politeness_count,915,868,0.32459016393442625,0.7903225806451613,276873.0,1.2030656512729051e-38,2.4382130532464214e-38,0.30278008612223317,True,exploratory_turn6,global_all_turn_x_feature_tests
7,word_count,892,836,42.9719730941704,337.89593301435406,8059.5,2.447753067762329e-271,6.7646993872704354e-270,0.9783844165039586,True,exploratory_turn7,global_all_turn_x_feature_tests
7,sentence_count,892,836,2.4529147982062782,15.726076555023923,10744.0,3.011839959136202e-271,7.629994563145045e-270,0.9711845860063939,True,exploratory_turn7,global_all_turn_x_feature_tests
7,avg_sentence_length,892,836,18.280840807174886,21.376794258373206,219248.5,1.08125939235035e-49,2.60875281963894e-49,0.41197540069088334,True,exploratory_turn7,global_all_turn_x_feature_tests
7,paragraph_count,892,836,1.0,8.16866028708134,127110.0,7.513281300718075e-183,7.137617235682171e-182,0.6590909090909092,True,exploratory_turn7,global_all_turn_x_feature_tests
7,question_count,892,836,1.257847533632287,0.9832535885167464,449695.0,1.071355318832904e-15,1.4605023180502367e-15,-0.20608224086510618,True,exploratory_turn7,global_all_turn_x_feature_tests
7,mattr,892,836,0.8866984304932736,0.8225084928229665,576461.5,5.7404448545623676e-86,2.0058565928585745e-85,-0.5460700645825733,True,exploratory_turn7,global_all_turn_x_feature_tests
7,flesch_reading_ease,892,836,65.01532511210762,44.86545454545455,651139.0,9.171837625792951e-159,6.970596595602643e-158,-0.7463551612418735,True,exploratory_turn7,global_all_turn_x_feature_tests
7,avg_word_length,892,836,4.606392376681614,5.18706937799043,112798.5,6.612824114535104e-139,3.86595871311283e-138,0.6974743600746669,True,exploratory_turn7,global_all_turn_x_feature_tests
7,medical_term_count,892,836,0.09977578475336323,0.8911483253588517,254159.5,1.046201125558382e-57,2.8652715510788123e-57,0.3183440792155685,True,exploratory_turn7,global_all_turn_x_feature_tests
7,urgency_score,892,836,0.1109865470852018,0.5095693779904307,297002.0,4.587807379997374e-33,8.252623926149122e-33,0.20344047031561785,True,exploratory_turn7,global_all_turn_x_feature_tests
7,warning_signs_count,892,836,0.6053811659192825,1.1770334928229664,281864.5,5.794694024296514e-23,8.896903956495658e-23,0.24403925376016478,True,exploratory_turn7,global_all_turn_x_feature_tests
7,medication_specificity,892,836,0.09865470852017937,0.3672248803827751,299323.5,1.8434557590567987e-27,3.0129599502863808e-27,0.19721420602055484,True,exploratory_turn7,global_all_turn_x_feature_tests
7,differential_count,892,836,0.04932735426008968,0.8660287081339713,220314.0,1.1210602489162503e-86,3.9628176240760475e-86,0.4091177290964877,True,exploratory_turn7,global_all_turn_x_feature_tests
7,emergency_advice,892,836,0.030269058295964126,0.02751196172248804,373884.0,0.7327859470148342,0.7376388340811576,-0.0027570965734760033,False,exploratory_turn7,global_all_turn_x_feature_tests
7,safety_warning_count,892,836,0.16928251121076232,0.9545454545454546,255624.0,2.2821716287917393e-51,5.686722747153186e-51,0.31441628939858823,True,exploratory_turn7,global_all_turn_x_feature_tests
7,risk_language_score,892,836,0.2040358744394619,0.9019138755980861,258757.5,7.942623307788959e-48,1.8573519119752642e-47,0.3060122406505461,True,exploratory_turn7,global_all_turn_x_feature_tests
7,empathy_score,892,836,0.11995515695067265,0.3373205741626794,325775.5,6.578540603341968e-15,8.771387471122624e-15,0.12626992726414488,True,exploratory_turn7,global_all_turn_x_feature_tests
7,reassurance_count,892,836,0.016816143497757848,0.14473684210526316,345496.0,7.0614394456041004e-12,9.019653745645573e-12,0.07337953526294339,True,exploratory_turn7,global_all_turn_x_feature_tests
7,politeness_count,892,836,0.30829596412556054,0.9629186602870813,220689.0,9.537100950691651e-63,2.7096062514114596e-62,0.40811197888729156,True,exploratory_turn7,global_all_turn_x_feature_tests
8,word_count,870,797,40.85287356321839,351.69887076537015,8943.0,2.1702367989183632e-259,4.398346579141216e-258,0.9742049928611604,True,exploratory_turn8,global_all_turn_x_feature_tests
8,sentence_count,870,797,2.354022988505747,16.520702634880802,7309.5,1.5386968456045977e-265,3.5981833927984437e-264,0.9789166270064465,True,exploratory_turn8,global_all_turn_x_feature_tests
8,avg_sentence_length,870,797,18.23628735632184,20.94809284818068,228258.0,1.6210100683332e-33,2.9332563141267425e-33,0.34161727166529654,True,exploratory_turn8,global_all_turn_x_feature_tests
8,paragraph_count,870,797,1.0,8.59598494353827,108315.0,1.3805334683381424e-187,1.447179911637225e-186,0.6875784190715182,True,exploratory_turn8,global_all_turn_x_feature_tests
8,question_count,870,797,1.2540229885057472,0.9247176913425345,437111.5,3.927408681327295e-23,6.091491015936212e-23,-0.26079551190527694,True,exploratory_turn8,global_all_turn_x_feature_tests
8,mattr,870,797,0.8796133333333334,0.8236222082810538,511650.5,2.2096827191852937e-63,6.459072563772397e-63,-0.47579428604392904,True,exploratory_turn8,global_all_turn_x_feature_tests
8,flesch_reading_ease,870,797,64.74919540229885,45.538833124215806,590052.5,1.1967215678841517e-135,6.614606484305129e-135,-0.7019354187398146,True,exploratory_turn8,global_all_turn_x_feature_tests
8,avg_word_length,870,797,4.595749425287356,5.191723964868256,99698.0,1.1224707300292627e-139,6.6908059201744294e-139,0.71243311844705,True,exploratory_turn8,global_all_turn_x_feature_tests
8,medical_term_count,870,797,0.10114942528735632,0.8130489335006273,245662.0,1.3228534396456653e-49,3.1665153200967107e-49,0.2914175283750847,True,exploratory_turn8,global_all_turn_x_feature_tests
8,urgency_score,870,797,0.059770114942528735,0.5181932245922208,267876.5,5.132695490707357e-40,1.0760961580517493e-39,0.22734247681679864,True,exploratory_turn8,global_all_turn_x_feature_tests
8,warning_signs_count,870,797,0.34367816091954023,0.9874529485570891,248830.0,1.906796371368769e-32,3.3123776965491756e-32,0.2822798136690752,True,exploratory_turn8,global_all_turn_x_feature_tests
8,medication_specificity,870,797,0.12413793103448276,0.32622333751568383,296140.5,2.520777446073427e-15,3.4058504160280966e-15,0.1458183706139402,True,exploratory_turn8,global_all_turn_x_feature_tests
8,differential_count,870,797,0.06896551724137931,0.7415307402760352,226727.5,2.902429347475163e-63,8.403224015547139e-63,0.3460318147074518,True,exploratory_turn8,global_all_turn_x_feature_tests
8,emergency_advice,870,797,0.008045977011494253,0.027603513174404015,339914.5,0.0022909504821838423,0.002569922312117668,0.019557536162909783,True,exploratory_turn8,global_all_turn_x_feature_tests
8,safety_warning_count,870,797,0.10229885057471265,0.8519447929736512,241675.5,1.2815989970951473e-52,3.2467174593077067e-52,0.30291610781811107,True,exploratory_turn8,global_all_turn_x_feature_tests
8,risk_language_score,870,797,0.12758620689655173,0.7992471769134254,246119.5,1.41510421031054e-47,3.283905953697742e-47,0.29009792468884754,True,exploratory_turn8,global_all_turn_x_feature_tests
8,empathy_score,870,797,0.12298850574712644,0.40401505646173147,291656.0,3.536178615128663e-20,5.243894141459091e-20,0.1587533711187067,True,exploratory_turn8,global_all_turn_x_feature_tests
