model,feature,term,coef,ci_lower,ci_upper,p_raw,feat_mean,feat_std,fdr_scope,ordinal_approx,model_type,p_fdr
doctronic,politeness_count,C(symptom)[T.dizziness],-0.12773629232381975,-0.27953533751899107,0.024062752871351567,0.0990910901053155,0.5147012078830261,0.9033954632347106,within_model_x_feature_demographic_terms,False,MixedLM,0.21332174593471917
doctronic,politeness_count,C(symptom)[T.fatigue],-0.03403613266796945,-0.185418055411897,0.11734579007595808,0.6594513331456293,0.5147012078830261,0.9033954632347106,within_model_x_feature_demographic_terms,False,MixedLM,0.7966061272242371
doctronic,politeness_count,C(symptom)[T.fever],0.03950055249659098,-0.11210804069748548,0.19110914569066745,0.6095927757230011,0.5147012078830261,0.9033954632347106,within_model_x_feature_demographic_terms,False,MixedLM,0.764982959534796
doctronic,politeness_count,C(symptom)[T.headache],0.9238333748490425,0.7887925430037355,1.0588742066943495,5.399835144353727e-41,0.5147012078830261,0.9033954632347106,within_model_x_feature_demographic_terms,False,MixedLM,7.961295405136905e-40
doctronic,politeness_count,C(symptom)[T.palpitations],0.020259112465678235,-0.1312649830313366,0.17178320796269309,0.7932816651427924,0.5147012078830261,0.9033954632347106,within_model_x_feature_demographic_terms,False,MixedLM,0.8927414741497645
doctronic,politeness_count,C(symptom)[T.shortness of breath],0.015700243825589353,-0.13440457543025663,0.16580506308143533,0.837569915512073,0.5147012078830261,0.9033954632347106,within_model_x_feature_demographic_terms,False,MixedLM,0.9173384788941753
doctronic,politeness_count,C(symptom)[T.skin rash],-0.023281847592578134,-0.17481712006083816,0.12825342487568192,0.7633165420099943,0.5147012078830261,0.9033954632347106,within_model_x_feature_demographic_terms,False,MixedLM,0.8725785519994965
doctronic,politeness_count,turn_number,0.04570488884146022,0.04216538870591865,0.04924438897700179,2.566047708839992e-141,0.5147012078830261,0.9033954632347106,within_model_x_feature_demographic_terms,False,MixedLM,1.0539124518449967e-139
doctronic,politeness_count,age_numeric,-7.728193834848693e-05,-0.0016942850673220575,0.0015397211906250834,0.9253687804255003,0.5147012078830261,0.9033954632347106,within_model_x_feature_demographic_terms,False,MixedLM,0.9674309977175685
doctronic,politeness_count,severity_num,0.1447751421268818,0.10552762408288431,0.18402266017087932,4.834918707504866e-13,0.5147012078830261,0.9033954632347106,within_model_x_feature_demographic_terms,False,MixedLM,4.029098922920722e-12
doctronic,warning_signs_count,C(race)[T.Asian],-0.033612149152301894,-0.10979088776128454,0.042566589456680744,0.38715412981769326,0.5153369357914812,1.2154479971823497,within_model_x_feature_demographic_terms,False,MixedLM,0.5920575123541852
doctronic,warning_signs_count,C(race)[T.Black],-0.00915402650856551,-0.08506354776945975,0.06675549475232874,0.8131575452990141,0.5153369357914812,1.2154479971823497,within_model_x_feature_demographic_terms,False,MixedLM,0.9026362713261257
doctronic,warning_signs_count,C(race)[T.Hispanic],0.003490974789930337,-0.07269983708108745,0.07968178666094812,0.9284435411678933,0.5153369357914812,1.2154479971823497,within_model_x_feature_demographic_terms,False,MixedLM,0.9688839131969849
doctronic,warning_signs_count,C(race)[T.White],0.03838605646378609,-0.03827865939726959,0.11505077232484176,0.32641779941297666,0.5153369357914812,1.2154479971823497,within_model_x_feature_demographic_terms,False,MixedLM,0.5213617629512821
doctronic,warning_signs_count,C(gender)[T.male],-0.06536506324791513,-0.11339222909959276,-0.0173378973962375,0.007641455142534842,0.5153369357914812,1.2154479971823497,within_model_x_feature_demographic_terms,False,MixedLM,0.024299364625854712
doctronic,warning_signs_count,C(symptom)[T.back pain],0.005565342037276234,-0.10487817317934103,0.11600885725389351,0.9213254611766347,0.5153369357914812,1.2154479971823497,within_model_x_feature_demographic_terms,False,MixedLM,0.9667192338988412
doctronic,warning_signs_count,C(symptom)[T.chest pain],1.4588598169575966,1.3505997987491114,1.5671198351660818,1.0100955571994347e-153,0.5153369357914812,1.2154479971823497,within_model_x_feature_demographic_terms,False,MixedLM,4.840041211580625e-152
doctronic,warning_signs_count,C(symptom)[T.dizziness],0.3532365834249536,0.24181287156913178,0.46466029528077546,5.181797875106668e-10,0.5153369357914812,1.2154479971823497,within_model_x_feature_demographic_terms,False,MixedLM,3.7244172227329178e-09
doctronic,warning_signs_count,C(symptom)[T.fatigue],-0.02582891500707973,-0.13661911185015113,0.08496128183599166,0.6477189042581636,0.5153369357914812,1.2154479971823497,within_model_x_feature_demographic_terms,False,MixedLM,0.7922941316387901
doctronic,warning_signs_count,C(symptom)[T.fever],0.21155282841048392,0.10033077698404466,0.3227748798369232,0.00019300457412939128,0.5153369357914812,1.2154479971823497,within_model_x_feature_demographic_terms,False,MixedLM,0.0008878210409952
doctronic,warning_signs_count,C(symptom)[T.headache],0.5664117842263113,0.466063397514975,0.6667601709376477,1.898045148817104e-28,0.5153369357914812,1.2154479971823497,within_model_x_feature_demographic_terms,False,MixedLM,2.37255643602138e-27
doctronic,warning_signs_count,C(symptom)[T.palpitations],0.4252827967483037,0.3141761210837256,0.5363894724128818,6.277939297040716e-14,0.5153369357914812,1.2154479971823497,within_model_x_feature_demographic_terms,False,MixedLM,5.553561685843711e-13
doctronic,warning_signs_count,C(symptom)[T.shortness of breath],0.23103243713400196,0.12123277357446324,0.34083210069354064,3.7232762842192686e-05,0.5153369357914812,1.2154479971823497,within_model_x_feature_demographic_terms,False,MixedLM,0.0001911503449487571
doctronic,warning_signs_count,C(symptom)[T.skin rash],-0.06742411402045212,-0.17843858072937532,0.043590352688471085,0.23389907220722828,0.5153369357914812,1.2154479971823497,within_model_x_feature_demographic_terms,False,MixedLM,0.41990233086255296
