model,feature,comparison,n_a,n_b,mean_a,mean_b,U,p_raw,p_fdr,effect_r,sig_fdr
doctronic,mattr,short vs long_all,865,12584,0.8767254335260116,0.8868366815003179,5029567.0,0.00017971537092917816,0.00022029626113899257,0.07588551753028894,True
doctronic,flesch_reading_ease,short vs long_all,865,12584,54.48923699421965,66.9644278448824,2375213.5,9.942931439617292e-170,4.0481935147013264e-169,0.5635868466793322,True
doctronic,avg_word_length,short vs long_all,865,12584,5.13016647398844,4.573316513032422,9218198.5,4.395848643296242e-256,2.9478043843280684e-255,-0.6937185121762106,True
doctronic,medical_term_count,short vs long_all,865,12584,0.5479768786127167,0.09861729179910998,6859380.0,6.97895920412405e-152,2.652004497567139e-151,-0.26031771696511585,True
doctronic,urgency_score,short vs long_all,865,12584,2.2358381502890174,0.1253973299427845,10434992.5,0.0,0.0,-0.9172878487776017,True
doctronic,warning_signs_count,short vs long_all,865,12584,3.561849710982659,0.5153369357914812,10227391.5,0.0,0.0,-0.8791439905339011,True
doctronic,medication_specificity,short vs long_all,865,12584,0.7179190751445087,0.12301335028607756,7389088.0,5.035049391581378e-220,2.2959825225611083e-219,-0.3576443524945889,True
doctronic,differential_count,short vs long_all,865,12584,0.14450867052023122,0.042752701843610935,6003692.5,5.435291104807919e-44,1.2392463718962056e-43,-0.10309678498065256,True
doctronic,emergency_advice,short vs long_all,865,12584,0.3375722543352601,0.030514939605848695,7113764.0,0.0,0.0,-0.30705731472941133,True
doctronic,safety_warning_count,short vs long_all,865,12584,1.4716763005780347,0.20764462809917356,8719113.5,0.0,0.0,-0.6020184361093452,True
doctronic,risk_language_score,short vs long_all,865,12584,1.569942196531792,0.256993006993007,8633598.0,0.0,0.0,-0.5863061268736518,True
doctronic,empathy_score,short vs long_all,865,12584,1.6369942196531793,0.16648124602670059,9458460.5,0.0,0.0,-0.7378633846447824,True
doctronic,reassurance_count,short vs long_all,865,12584,0.009248554913294798,0.04950731087094724,5225611.0,7.311414175100606e-08,9.922633523350823e-08,0.039865100742662474,True
doctronic,politeness_count,short vs long_all,865,12584,1.3560693641618498,0.5147012078830261,8577357.5,8.127193031819574e-245,4.632500028137158e-244,-0.5759727004472144,True
doctronic,word_count,long_turn1 vs long_turn16,1029,289,45.78134110787172,29.155709342560552,162553.5,0.015188256828024709,0.016810303673736083,-0.09323393222835352,True
doctronic,sentence_count,long_turn1 vs long_turn16,1029,289,2.7191448007774537,1.6955017301038062,175020.5,7.625754494901919e-07,1.0108558283939753e-06,-0.1770792350553667,True
doctronic,avg_sentence_length,long_turn1 vs long_turn16,1029,289,16.88194363459669,18.120276816608992,138927.5,0.08714988792897548,0.09372723796135098,0.06565987739633672,False
doctronic,paragraph_count,long_turn1 vs long_turn16,1029,289,1.0,1.0,148690.5,1.0,1.0,0.0,False
doctronic,question_count,long_turn1 vs long_turn16,1029,289,0.282798833819242,0.010380622837370242,188564.5,1.6629853327779872e-22,3.159672132278176e-22,-0.26816777131020486,True
doctronic,mattr,long_turn1 vs long_turn16,1029,289,0.8964992225461613,0.9286432525951558,102896.0,1.039494322055417e-15,1.645866009921077e-15,0.3079853790255598,True
doctronic,flesch_reading_ease,long_turn1 vs long_turn16,1029,289,69.9357725947522,58.85508650519032,186504.0,3.708076853109151e-11,5.35089571208156e-11,-0.2543101274123094,True
doctronic,avg_word_length,long_turn1 vs long_turn16,1029,289,4.3958007774538395,4.936359861591695,100245.5,2.3556294503578796e-17,3.836310819154261e-17,0.3258109966675746,True
doctronic,medical_term_count,long_turn1 vs long_turn16,1029,289,0.010689990281827016,0.1695501730103806,133230.0,3.629710352847408e-18,6.085102650361831e-18,0.10397772554399909,True
doctronic,urgency_score,long_turn1 vs long_turn16,1029,289,0.31584062196307094,0.2768166089965398,146139.0,0.41514212889749325,0.43091378027285226,0.017159805098510006,False
doctronic,warning_signs_count,long_turn1 vs long_turn16,1029,289,0.6268221574344023,0.10034602076124567,180453.0,1.3390261411783484e-14,2.0353197345910895e-14,-0.21361485770778899,True
doctronic,medication_specificity,long_turn1 vs long_turn16,1029,289,0.001943634596695821,0.01730103806228374,146778.5,0.001689778143297807,0.0019859248282056703,0.012858925082638084,True
doctronic,differential_count,long_turn1 vs long_turn16,1029,289,0.0029154518950437317,0.058823529411764705,140241.5,8.215302843024917e-13,1.2162915897465462e-12,0.05682272909163666,True
doctronic,emergency_advice,long_turn1 vs long_turn16,1029,289,0.10398445092322643,0.020761245674740483,161065.0,8.075511114619434e-06,1.034391311310804e-05,-0.08322320524848603,True
doctronic,safety_warning_count,long_turn1 vs long_turn16,1029,289,0.3935860058309038,0.16608996539792387,162197.0,0.0005123583964265887,0.0006213708211982033,-0.09083633453381346,True
doctronic,risk_language_score,long_turn1 vs long_turn16,1029,289,0.4956268221574344,0.14878892733564014,163790.5,9.520908645333408e-05,0.00011797647669217484,-0.10155322633254982,True
doctronic,empathy_score,long_turn1 vs long_turn16,1029,289,0.5189504373177842,0.16608996539792387,174797.0,2.3336493737346e-10,3.2843954148857337e-10,-0.1755761127980604,True
doctronic,reassurance_count,long_turn1 vs long_turn16,1029,289,0.4295432458697765,0.10380622837370242,197124.5,1.956158641699945e-24,3.779696358538876e-24,-0.3257370174960741,True
doctronic,politeness_count,long_turn1 vs long_turn16,1029,289,0.7842565597667639,0.6608996539792388,129095.5,7.915060111769846e-05,0.00010025742808241805,0.13178380595935857,True
drkhan,word_count,short vs long_turn1,863,1000,66.61645422943221,80.533,199590.5,2.6699230134921584e-89,7.246933893764431e-89,0.5374495944380069,True
drkhan,sentence_count,short vs long_turn1,863,1000,5.595596755504055,6.273,298506.5,3.19198703593243e-36,6.997817732621096e-36,0.3082120509849363,True
drkhan,avg_sentence_length,short vs long_turn1,863,1000,12.026292004634994,12.95369,322361.0,4.1987881117475e-21,7.720352334503467e-21,0.2529293163383546,True
drkhan,paragraph_count,short vs long_turn1,863,1000,1.0046349942062573,1.992,147076.0,1.1171051424845034e-187,4.898076393970515e-187,0.6591517960602549,True
